ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60610,20,43961,43967,25,191,64,489.5,347,1382,889,3541.9,0.1,0.1,0,4,0,10.3,39019,60610-20,POINT (-87.63581 41.90455)
60610,24,43989,43995,4,239,10,612.5,334,2608,856,6683.9,0,0.1,1,7,2.6,17.9,39019,60610-24,POINT (-87.63581 41.90455)
60610,14,43919,43925,21,80,54,205,81,284,208,727.9,0.3,0.3,0,0,0,0,39019,60610-14,POINT (-87.63581 41.90455)
60610,15,43926,43932,15,95,38,243.5,102,386,261,989.3,0.1,0.2,1,1,2.6,2.6,39019,60610-15,POINT (-87.63581 41.90455)
60610,19,43954,43960,21,166,54,425.4,215,1035,551,2652.6,0.1,0.2,1,4,2.6,10.3,39019,60610-19,POINT (-87.63581 41.90455)
60610,23,43982,43988,7,235,18,602.3,284,2274,728,5827.9,0,0.1,1,6,2.6,15.4,39019,60610-23,POINT (-87.63581 41.90455)
60610,16,43933,43939,12,107,31,274.2,111,497,284,1273.7,0.1,0.2,0,1,0,2.6,39019,60610-16,POINT (-87.63581 41.90455)
60610,22,43975,43981,15,228,38,584.3,280,1990,718,5100.1,0.1,0.1,0,5,0,12.8,39019,60610-22,POINT (-87.63581 41.90455)
60610,17,43940,43946,20,127,51,325.5,151,648,387,1660.7,0.1,0.2,2,3,5.1,7.7,39019,60610-17,POINT (-87.63581 41.90455)
60610,12,43905,43911,22,26,56,66.6,78,96,200,246,0.3,0.3,0,0,0,0,39019,60610-12,POINT (-87.63581 41.90455)
60610,25,43996,44002,7,246,18,630.5,347,2955,889,7573.2,0,0.1,1,8,2.6,20.5,39019,60610-25,POINT (-87.63581 41.90455)
60610,21,43968,43974,22,213,56,545.9,328,1710,841,4382.5,0.1,0.1,1,5,2.6,12.8,39019,60610-21,POINT (-87.63581 41.90455)
60610,18,43947,43953,18,145,46,371.6,172,820,441,2101.5,0.1,0.2,0,3,0,7.7,39019,60610-18,POINT (-87.63581 41.90455)
60610,13,43912,43918,33,59,85,151.2,107,203,274,520.3,0.3,0.3,0,0,0,0,39019,60610-13,POINT (-87.63581 41.90455)
60611,19,43954,43960,6,90,18,277.6,226,1036,697,3195,0,0.1,1,2,3.1,6.2,32426,60611-19,POINT (-87.620291 41.894734)
60611,18,43947,43953,10,84,31,259.1,224,810,691,2498,0,0.1,0,1,0,3.1,32426,60611-18,POINT (-87.620291 41.894734)
60611,23,43982,43988,7,124,22,382.4,232,2043,716,6300.5,0,0.1,0,2,0,6.2,32426,60611-23,POINT (-87.620291 41.894734)
60611,13,43912,43918,21,36,65,111,119,215,367,663,0.2,0.2,0,0,0,0,32426,60611-13,POINT (-87.620291 41.894734)
60611,22,43975,43981,11,117,34,360.8,283,1811,873,5585,0,0.1,0,2,0,6.2,32426,60611-22,POINT (-87.620291 41.894734)
60611,14,43919,43925,14,50,43,154.2,72,287,222,885.1,0.2,0.2,0,0,0,0,32426,60611-14,POINT (-87.620291 41.894734)
60611,25,43996,44002,5,133,15,410.2,309,2663,953,8212.5,0,0,1,3,3.1,9.3,32426,60611-25,POINT (-87.620291 41.894734)
60611,15,43926,43932,7,57,22,175.8,60,347,185,1070.1,0.1,0.2,0,0,0,0,32426,60611-15,POINT (-87.620291 41.894734)
60611,21,43968,43974,7,106,22,326.9,248,1528,765,4712.3,0,0.1,0,2,0,6.2,32426,60611-21,POINT (-87.620291 41.894734)
60611,16,43933,43939,9,66,28,203.5,104,451,321,1390.9,0.1,0.1,0,0,0,0,32426,60611-16,POINT (-87.620291 41.894734)
60611,20,43961,43967,9,99,28,305.3,244,1280,752,3947.4,0,0.1,0,2,0,6.2,32426,60611-20,POINT (-87.620291 41.894734)
60611,24,43989,43995,4,128,12,394.7,311,2354,959,7259.6,0,0.1,0,2,0,6.2,32426,60611-24,POINT (-87.620291 41.894734)
60611,17,43940,43946,8,74,25,228.2,135,586,416,1807.2,0.1,0.1,1,1,3.1,3.1,32426,60611-17,POINT (-87.620291 41.894734)
60611,12,43905,43911,14,15,43,46.3,84,96,259,296.1,0.2,0.2,0,0,0,0,32426,60611-12,POINT (-87.620291 41.894734)
60612,20,43961,43967,71,545,207,1588.4,419,2327,1221,6782.1,0.2,0.2,2,19,5.8,55.4,34311,60612-20,POINT (-87.687011 41.88004)
60612,14,43919,43925,50,128,146,373.1,164,454,478,1323.2,0.3,0.3,3,4,8.7,11.7,34311,60612-14,POINT (-87.687011 41.88004)
60612,24,43989,43995,9,660,26,1923.6,410,3621,1195,10553.5,0,0.2,1,26,2.9,75.8,34311,60612-24,POINT (-87.687011 41.88004)
60612,19,43954,43960,77,474,224,1381.5,357,1908,1040,5560.9,0.2,0.2,4,17,11.7,49.5,34311,60612-19,POINT (-87.687011 41.88004)
60612,15,43926,43932,67,195,195,568.3,246,700,717,2040.2,0.3,0.3,3,7,8.7,20.4,34311,60612-15,POINT (-87.687011 41.88004)
60612,23,43982,43988,21,651,61,1897.4,233,3211,679,9358.5,0.1,0.2,0,25,0,72.9,34311,60612-23,POINT (-87.687011 41.88004)
60612,22,43975,43981,24,630,70,1836.1,311,2978,906,8679.4,0.1,0.2,3,25,8.7,72.9,34311,60612-22,POINT (-87.687011 41.88004)
60612,16,43933,43939,60,255,175,743.2,228,928,664,2704.7,0.3,0.3,3,10,8.7,29.1,34311,60612-16,POINT (-87.687011 41.88004)
60612,12,43905,43911,19,19,55,55.4,96,107,280,311.9,0.2,0.2,0,0,0,0,34311,60612-12,POINT (-87.687011 41.88004)
60612,17,43940,43946,79,334,230,973.4,287,1215,836,3541.1,0.3,0.3,1,11,2.9,32.1,34311,60612-17,POINT (-87.687011 41.88004)
60612,21,43968,43974,61,606,178,1766.2,340,2667,991,7773,0.2,0.2,3,22,8.7,64.1,34311,60612-21,POINT (-87.687011 41.88004)
60612,25,43996,44002,7,667,20,1944,291,3912,848,11401.6,0,0.2,0,26,0,75.8,34311,60612-25,POINT (-87.687011 41.88004)
60612,13,43912,43918,59,78,172,227.3,183,290,533,845.2,0.3,0.3,1,1,2.9,2.9,34311,60612-13,POINT (-87.687011 41.88004)
60612,18,43947,43953,63,397,184,1157.1,336,1551,979,4520.4,0.2,0.3,2,13,5.8,37.9,34311,60612-18,POINT (-87.687011 41.88004)
60613,19,43954,43960,29,292,58,582.7,231,1313,461,2620.1,0.1,0.2,8,20,16,39.9,50113,60613-19,POINT (-87.661343 41.953742)
60613,18,43947,43953,60,263,120,524.8,268,1082,535,2159.1,0.2,0.2,1,12,2,23.9,50113,60613-18,POINT (-87.661343 41.953742)
60613,13,43912,43918,31,57,62,113.7,118,212,236,423,0.3,0.3,0,0,0,0,50113,60613-13,POINT (-87.661343 41.953742)
60613,23,43982,43988,12,339,24,676.5,314,2500,627,4988.7,0,0.1,1,28,2,55.9,50113,60613-23,POINT (-87.661343 41.953742)
60613,22,43975,43981,7,327,14,652.5,323,2186,644,4362.1,0,0.2,3,27,6,53.9,50113,60613-22,POINT (-87.661343 41.953742)
60613,14,43919,43925,50,107,100,213.5,130,342,259,682.5,0.4,0.3,1,1,2,2,50113,60613-14,POINT (-87.661343 41.953742)
60613,21,43968,43974,13,320,26,638.6,298,1863,595,3717.6,0,0.2,1,24,2,47.9,50113,60613-21,POINT (-87.661343 41.953742)
60613,15,43926,43932,31,138,62,275.4,127,469,253,935.9,0.2,0.3,4,5,8,10,50113,60613-15,POINT (-87.661343 41.953742)
60613,25,43996,44002,6,351,12,700.4,490,3568,978,7119.9,0,0.1,1,29,2,57.9,50113,60613-25,POINT (-87.661343 41.953742)
60613,20,43961,43967,15,307,30,612.6,252,1565,503,3122.9,0.1,0.2,3,23,6,45.9,50113,60613-20,POINT (-87.661343 41.953742)
60613,16,43933,43939,32,170,64,339.2,148,617,295,1231.2,0.2,0.3,3,8,6,16,50113,60613-16,POINT (-87.661343 41.953742)
60613,12,43905,43911,22,26,44,51.9,78,94,156,187.6,0.3,0.3,0,0,0,0,50113,60613-12,POINT (-87.661343 41.953742)
60613,17,43940,43946,33,203,66,405.1,197,814,393,1624.3,0.2,0.2,3,11,6,22,50113,60613-17,POINT (-87.661343 41.953742)
60613,24,43989,43995,6,345,12,688.4,578,3078,1153,6142.1,0,0.1,0,28,0,55.9,50113,60613-24,POINT (-87.661343 41.953742)
60614,20,43961,43967,32,430,45,603,477,2471,669,3465.2,0.1,0.2,6,52,8.4,72.9,71308,60614-20,POINT (-87.652064 41.922605)
60614,14,43919,43925,38,108,53,151.5,141,436,198,611.4,0.3,0.2,0,1,0,1.4,71308,60614-14,POINT (-87.652064 41.922605)
60614,24,43989,43995,12,470,17,659.1,572,4261,802,5975.5,0,0.1,2,62,2.8,86.9,71308,60614-24,POINT (-87.652064 41.922605)
60614,19,43954,43960,52,398,73,558.1,399,1994,560,2796.3,0.1,0.2,10,46,14,64.5,71308,60614-19,POINT (-87.652064 41.922605)
60614,15,43926,43932,47,155,66,217.4,175,611,245,856.8,0.3,0.3,8,9,11.2,12.6,71308,60614-15,POINT (-87.652064 41.922605)
60614,11,43898,43904,14,14,20,19.6,31,33,44,46.3,0.5,0.4,0,0,0,0,71308,60614-11,POINT (-87.652064 41.922605)
60614,23,43982,43988,4,458,6,642.3,419,3689,588,5173.3,0,0.1,0,60,0,84.1,71308,60614-23,POINT (-87.652064 41.922605)
60614,22,43975,43981,11,454,15,636.7,343,3270,481,4585.7,0,0.1,4,60,5.6,84.1,71308,60614-22,POINT (-87.652064 41.922605)
60614,16,43933,43939,31,186,44,260.8,211,822,296,1152.7,0.1,0.2,15,24,21,33.7,71308,60614-16,POINT (-87.652064 41.922605)
60614,12,43905,43911,22,36,31,50.5,123,156,172,218.8,0.2,0.2,1,1,1.4,1.4,71308,60614-12,POINT (-87.652064 41.922605)
60614,17,43940,43946,64,250,90,350.6,295,1117,414,1566.4,0.2,0.2,6,30,8.4,42.1,71308,60614-17,POINT (-87.652064 41.922605)
